Wavelength,Transmission,Interpolated_Intensity,Expected_Counts
3.906886771999999723e+02,5.886000000000000405e-11,1.881198168596521903e-08,1.107273242035912824e-18
3.906973719000000074e+02,0.000000000000000000e+00,1.881573999387853363e-08,0.000000000000000000e+00
3.907060766999999828e+02,2.839999999999999692e-11,1.881950266754451425e-08,5.344738757582641097e-19
3.907147813999999926e+02,2.162999999999999730e-11,1.882326529798523228e-08,4.071472283954205327e-19
3.907234861000000024e+02,3.219999999999999608e-11,1.882702792842595362e-08,6.062302992953155967e-19
3.907321807999999805e+02,0.000000000000000000e+00,1.883078623633924175e-08,0.000000000000000000e+00
3.907408854999999903e+02,0.000000000000000000e+00,1.883454886677996309e-08,0.000000000000000000e+00
3.907495902000000001e+02,1.482000000000000026e-11,1.883831149722068112e-08,2.791837763888104918e-19
3.907582949000000099e+02,2.555999999999999691e-11,1.884207412766140246e-08,4.816034147030253808e-19
3.907669897000000105e+02,0.000000000000000000e+00,1.884583247879997634e-08,0.000000000000000000e+00
3.907756944000000203e+02,1.559999999999999977e-11,1.884959510924069437e-08,2.940536837041548378e-19
3.907843990999999733e+02,2.470000000000000179e-12,1.885335773968139255e-08,4.656779361701304495e-20
3.907931037999999830e+02,1.728999999999999923e-11,1.885712037012211059e-08,3.260396111994112718e-19
3.908017985000000181e+02,5.179999999999999819e-11,1.886087867803542519e-08,9.769935155222349721e-19
3.908105032000000278e+02,0.000000000000000000e+00,1.886464130847614653e-08,0.000000000000000000e+00
3.908192078999999808e+02,3.899999999999999457e-11,1.886840393891684140e-08,7.358677536177566707e-19
3.908279127000000130e+02,0.000000000000000000e+00,1.887216661258284518e-08,0.000000000000000000e+00
3.908365774000000101e+02,0.000000000000000000e+00,1.887591195291388993e-08,0.000000000000000000e+00
3.908452821000000199e+02,0.000000000000000000e+00,1.887967458335461127e-08,0.000000000000000000e+00
